participant_code,city,weekend_number_global,property_slug,clutter_treatment,clutter_high,cue_recognition,nasa_tlx_mental,nasa_tlx_physical,nasa_tlx_temporal,nasa_tlx_performance,nasa_tlx_effort,nasa_tlx_frustration,visual_complexity,whole_experiment_time_seconds,choice_task_time_seconds,gender,age,student_status,household_structure,paris_resident,booking_familiarity,belief_thumb_quality,noticed_decoy_checkmark,noticed_decoy_badge,accommodation_preference_open,choice_process_open,belief_thumb_meaning_open,thumb_use_open,feedback_open,failed_comprehension_prize,failed_comprehension_choice_city_weekend,failed_comprehension_no_cancellation,preference_consistency,cued_choice_preference_consistency,n_hotels_in_choice_set,property_page_visits_number,decision_time_seconds,decision_time_imputed,loading_time_seconds,cued_weekend,listing_chosen,listing_clicked,listing_n_clicks,time_on_listing_page_seconds,cluster,cued_listing,checkin,choice_set,would_be_cued,is_substitute_listing,replaced_property_slug
synth0001,arcachon,1,c6x3ovh9dvr1ed78xwzffbcubje69i2lt,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,9,321.23101392760873,FALSE,147.58107461361215,TRUE,FALSE,FALSE,0,NA,2,FALSE,2026-10-02,choice_set_1,FALSE,FALSE,NA
synth0001,arcachon,2,18th5ckmrue4trchsjol857amgkkm-7o-n-z,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,7,113.21158868842758,FALSE,64.64652022044174,TRUE,FALSE,FALSE,0,NA,3,FALSE,2026-10-23,choice_set_2,TRUE,FALSE,NA
synth0001,arcachon,2,rq7l38tzyht16u7elcrah3t7usrx27vdw,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,7,113.21158868842758,FALSE,64.64652022044174,TRUE,FALSE,FALSE,0,NA,2,FALSE,2026-10-23,choice_set_2,TRUE,FALSE,NA
synth0001,arcachon,2,tisuq7gda1q9702zu8m791j506an5153-78x7x1r3vzt43hy8,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,7,113.21158868842758,FALSE,64.64652022044174,TRUE,FALSE,FALSE,0,NA,1,FALSE,2026-10-23,choice_set_2,FALSE,FALSE,NA
synth0001,arcachon,2,d16ftni14xfvkirs6k67-a3rdognj8gexeu,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,7,113.21158868842758,FALSE,64.64652022044174,TRUE,FALSE,TRUE,2,226.4033474563621,3,FALSE,2026-10-23,choice_set_2,FALSE,FALSE,NA
synth0001,arcachon,2,020q7tzlxx3v3j,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,7,113.21158868842758,FALSE,64.64652022044174,TRUE,TRUE,TRUE,1,93.1841754168272,1,FALSE,2026-10-23,choice_set_2,TRUE,FALSE,NA
synth0001,arcachon,2,b9hnq-qp5ycniixc986-vd20hlixc,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,7,113.21158868842758,FALSE,64.64652022044174,TRUE,FALSE,FALSE,0,NA,2,FALSE,2026-10-23,choice_set_2,FALSE,FALSE,NA
synth0001,arcachon,2,g0w5ot80sbv-6dr-8yn0jwjuf1h4zx-,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,7,113.21158868842758,FALSE,64.64652022044174,TRUE,FALSE,FALSE,0,NA,1,FALSE,2026-10-23,choice_set_2,FALSE,FALSE,NA
synth0001,arcachon,3,rcefpm6jn7pqbow0c7c-v6cnpj0hwi8773y3i-,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,10,416.81339544965886,FALSE,106.7504030095879,FALSE,FALSE,TRUE,1,294.3245036411099,1,FALSE,2026-10-02,choice_set_3,TRUE,FALSE,NA
synth0001,arcachon,3,7cqxkht1w6spjjsmw-a7w9lfqatzs-cst4n76vgj3yj,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,10,416.81339544965886,FALSE,106.7504030095879,FALSE,FALSE,FALSE,0,NA,2,FALSE,2026-10-02,choice_set_3,FALSE,FALSE,NA
synth0001,arcachon,3,siv0hsgzphwup420jtrphu-wb6141i6q,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,10,416.81339544965886,FALSE,106.7504030095879,FALSE,TRUE,TRUE,13,133.5399652342312,2,FALSE,2026-10-02,choice_set_3,TRUE,FALSE,NA
synth0001,arcachon,3,k10pnw-sg6xohf763--00qqz30smrjc1uj6kmg,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,10,416.81339544965886,FALSE,106.7504030095879,FALSE,FALSE,FALSE,0,NA,1,FALSE,2026-10-02,choice_set_3,FALSE,FALSE,NA
synth0001,arcachon,3,netwscbj18xqjywm0-qyi1sm6lass-w04vmnthnbn,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,10,416.81339544965886,FALSE,106.7504030095879,FALSE,FALSE,FALSE,0,NA,3,FALSE,2026-10-02,choice_set_3,TRUE,FALSE,NA
synth0001,arcachon,3,jb5c7113jyslr4rihh8hjj7ktb4yj59owxy,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,10,416.81339544965886,FALSE,106.7504030095879,FALSE,FALSE,FALSE,0,NA,3,FALSE,2026-10-02,choice_set_3,FALSE,FALSE,NA
synth0001,arcachon,3,7esweuq8j17vexloz61wnlrg,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,10,416.81339544965886,FALSE,106.7504030095879,FALSE,FALSE,FALSE,0,NA,2,FALSE,2026-10-02,choice_set_3,FALSE,FALSE,NA
synth0001,arcachon,3,fsbhxu6y1y6fs9uaa,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,10,416.81339544965886,FALSE,106.7504030095879,FALSE,FALSE,FALSE,0,NA,1,FALSE,2026-10-02,choice_set_3,FALSE,FALSE,NA
synth0001,arcachon,3,z0ru3k63j--sfhpqhko4,N,FALSE,0,25,28,76,80,0,25,4,3603,3130.786999940872,Femme,66,Étudiant,J'habite seul,1,3,4,0,0,distance depuis la mer ou le centre-ville ou une grande ville; distance depuis la gare/aéroport; le prix.,"Pour choisir les logements sur le site, j'ai procédé en sélectionnant d'abord par ordre de priorité. Pour les villes dont le centre ville ne m'intéressait pas, j'ai choisi de prioriser mes choix en fonction de la distance de la plage, des équipements du logement et de l'accessibilité des transports. Pour le cas général, j'ai d'abord priorisé les options possibles dans le logement et j'ai privilégié les hôtels : pas de ménage, restauration possible et équipements de type climatisation disponibles.",que c est ok j aime ou je prefere,je n'ai pas fait attention,expérience intéressante,0,0,0,NA,NA,9,10,416.81339544965886,FALSE,106.7504030095879,FALSE,FALSE,FALSE,0,NA,3,FALSE,2026-10-02,choice_set_3,FALSE,FALSE,NA
